ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER
08029964600,Colorado,CO,Delta County,8,3909,3846,3103,1862,2436,1775,3864,1.150515101881014,1.572520817526993,441,0.112816577,1012,0.263130525,79,0.044507042,729,0.188664596,26,0.01396348,228,0.07347728,96,0.024558711,1264,0.323356357,0.198974359,4.910104672131150,62.979750000000003,0.013428454,5.03795E-07,1247.541150405630788,850.000000000000000,0.348932677,0,0,0,0.057684497,331.315432398796759,3.527749182177905,2.147278827740948
08029964700,Colorado,CO,Delta County,8,4158,4091,3235,1747,2033,1992,4091,1.171976886488296,1.332330991308559,397,0.095478595,1159,0.283304815,75,0.037650602,638,0.15595209,0,0,186,0.057496136,98,0.023569024,1216,0.292448292,0.191794872,5.320574316939890,64.278109999999998,0.028630674,0.746033254,19020.559089499034599,395.000000000000000,0.194294147,0,0,0,0.069220403,92.232141909665259,4.477543348196781,0
08029964800,Colorado,CO,Delta County,8,3832,3061,2934,1254,1406,1283,3073,1.927873345490491,2.042806727864207,1022,0.266701461,1163,0.379941196,35,0.027279813,687,0.223560039,26,0.020733652,518,0.176550784,171,0.044624217,989,0.25808977,0.181538462,5.458380874316940,64.719430000000003,0.044921535,1.029136719735421,120347.804361998161767,278.000000000000000,0.19772404,0,0.179407473,0,0.164580577,615.010154851834386,5.437306393943647,0
08029964900,Colorado,CO,Delta County,8,5730,5647,3748,2054,2391,1779,5685,2.009404305941120,1.617395392578029,1756,0.306457243,2110,0.373649726,28,0.015739179,1081,0.190149516,0,0,372,0.099252935,357,0.062303665,1219,0.212739965,0.182564103,5.558739836065570,63.545040000000000,0.050237174,0,149940.609095733962022,372.000000000000000,0.155583438,0,0.185743834,0,0.832011171,497.374636785425423,7.226919885206806,0
08029965001,Colorado,CO,Delta County,8,2605,2605,1796,1037,1251,1121,2605,1.383358403055543,1.393139261312259,686,0.263339731,563,0.216122841,27,0.024085638,543,0.208445298,8,0.007714561,86,0.047884187,61,0.023416507,722,0.277159309,0.184615385,5.121427841530050,62.974969999999999,0.01668134,0,3026.954932340515825,383.000000000000000,0.306155076,0,0,0,0.107638794,26.653586982278785,4.412022381198269,0.22435016
08029965002,Colorado,CO,Delta County,8,2227,2227,1725,840,992,966,2227,1.228293757198983,1.801540503273011,269,0.120790301,625,0.28064661,16,0.016563147,413,0.18545128,47,0.055952381,172,0.099710145,227,0.101930849,588,0.26403233,0.184615385,5.146699207650270,63.232950000000002,0.018272923,0,1790.672451878330776,236.000000000000000,0.237903226,0,0,0,0.043298282,20.265062101472783,2.550887161303100,0
08029965100,Colorado,CO,Delta County,8,3868,3783,2855,1536,1737,1881,3783,2.019488389276350,2.189946594005290,1239,0.320320579,1384,0.365847211,140,0.074428495,963,0.254559873,34,0.022135417,436,0.152714536,112,0.028955533,926,0.239400207,0.202051282,5.584034699453550,63.877560000000003,0.055699653,0,301770.713188803521916,752.000000000000000,0.43293034,0,0.297688998,0,3.581654012983160,694.994616423196476,9.199792593337120,0
08029965201,Colorado,CO,Delta County,8,2594,2594,1868,1173,1282,1050,2594,2.114765671746020,1.913693495802796,312,0.120277564,1432,0.552043177,125,0.119047619,481,0.185427911,10,0.008525149,157,0.084047109,136,0.052428682,741,0.285659214,0.194871795,5.272090710382510,63.874850000000002,0.016816671,0,0,320.000000000000000,0.249609984,0,0,0,0.058772357,0.555536295,4.780836840357399,1.396162933365503
08029965202,Colorado,CO,Delta County,8,2250,2250,1635,760,1313,945,2250,1.575961270222435,1.481412150426191,298,0.132444444,850,0.377777778,39,0.041269841,313,0.139111111,0,0,134,0.081957187,118,0.052444444,726,0.322666667,0.194871795,5.095215382513660,64.001599999999996,0.010279864,9.86294E-06,0,312.000000000000000,0.237623762,0,0,0,0.003443899,2.224678999535099,2.327601459356291,8.738839285714285
08031000102,Colorado,CO,Denver County,8,3620,3620,2937,1658,1741,2481,3620,1.336100346660118,0.915548746,1203,0.332320442,534,0.147513812,218,0.087867795,279,0.077071823,9,0.005428227,137,0.046646238,218,0.060220994,403,0.111325967,0.194871795,8.959482786885250,77.141769999999980,0.509974971,9309.331062219767773,4692453.846428007818758,1057.000000000000000,0.607122343,0.915641435,0.73793013,2.729066163480270,9.410278883648523,3185.767009236334161,8.303563450266155,0
